Name_Surname,Integrity_Score,Integrity_Reason,Fraction_2019,Committee_Short,Incumbency,Party_Switcher,Region_Origin,From_Center,Gender_Male,Birth_Year,Education_Dummy,Career_Origin,List_Member,Status,Integrity_URL,is_System,is_Business,is_Civil Society,is_Media,is_Military,Career_Complexity,Career_Multi,Age_at_Election,Age_Squared,Political_Experience,Age_Outlier,Macro_Region,From_Occupied,is_Kyiv_Origin
Олександр Качний,1,Identified by Chesno as a figurant in integrity investigations and media reports regarding pro-Russian activities and undeclared assets.,Opposition Platform — For Life,Humanitarian,0,1,Kyiv,0,1,1968,1,"Business, System",1,Active,AI_Verified,1,1,0,0,0,2,1,51,2601,0,0,Center,0,1
Валентин Наливайченко,0,"No active criminal proceedings, VAKS cases, or NABU pidozra identified during the 9th convocation; maintains a relatively clean record regarding high-profile financial corruption probes.",Batkivshchyna,Foreign,1,0,Zaporizhzhia,1,1,1970,0,System,1,Active,AI_Verified,1,0,0,0,0,1,0,49,2401,49,0,East,0,0
Тетяна Плачкова,1,Media investigations (including Bihus.info) linked her to influence over corruption schemes in the State Architectural and Construction Inspection (DABI) and luxury lifestyle inconsistencies.,Opposition Platform — For Life,Energy,0,1,Odesa,0,0,1983,1,"System, Business",1,Terminated,AI_Verified,1,1,0,0,0,2,1,36,1296,0,0,South,0,0
Суто Мамоян,2,Subject of multiple high-profile anti-corruption investigations by NAZK and media (Bihus.info) regarding significantly undervalued luxury assets and undeclared property in Kyiv and Dubai.,Opposition Platform — For Life,Transport,0,1,Kyiv,1,1,1981,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,38,1444,0,0,Center,0,1
Юлія Тимошенко,1,"Subject of persistent media investigations (Bihus, Schemes) regarding undeclared assets, luxury lifestyle not matching income, and complex financial schemes involving US-based compensation.",Batkivshchyna,Social,1,0,Dnipro,1,0,1960,1,"System, Business",1,Active,AI_Verified,1,1,0,0,0,2,1,59,3481,59,0,East,0,0
Сергій Тарута,2,"NAZK identified significant violations in his 2019 declaration, including undeclared real estate and assets totaling over 5 million UAH, leading to official administrative protocols.",Batkivshchyna,Finance,1,0,Donetsk,0,1,1955,0,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,64,4096,64,0,East,1,0
Іван Кириленко,0,"No active criminal proceedings, VAKS cases, or significant enrichment-related media investigations recorded during the 9th convocation.",Batkivshchyna,Agrarian,1,0,Dnipro,0,1,1956,1,System,1,Active,AI_Verified,1,0,0,0,0,1,0,63,3969,63,0,East,0,0
Григорій Немиря,0,"No significant corruption-related criminal records, NABU investigations, or VAKS cases are associated with the MP in public databases or anti-corruption monitoring registries.",Batkivshchyna,Foreign,1,0,Donetsk,1,1,1960,1,"System, Civil Society",1,Active,AI_Verified,1,0,1,0,0,2,1,59,3481,59,0,East,1,0
Андрій Кожем'якін,0,"No active criminal verdicts, VAKS cases, or NABU/SAP corruption pidozras have been identified regarding his activities in the 9th convocation.",Batkivshchyna,Humanitarian,1,0,Kyiv,1,1,1959,1,System,1,Active,AI_Verified,1,0,0,0,0,1,0,60,3600,60,0,Center,0,1
Сергій Соболєв,0,"No record of NABU/SAP investigations, VAKS criminal cases, or major documented corruption investigations by investigative media like Bihus.Info or Schemes in the 9th convocation.",Batkivshchyna,Foreign,1,0,Zaporizhzhia,1,1,1961,1,System,1,Active,AI_Verified,1,0,0,0,0,1,0,58,3364,58,0,East,0,0
Валерій Дубіль,1,Extensive media investigations and DBR inquiries into his alleged involvement in organized voter bribery networks ('setka') and discrepancies in asset declarations.,Batkivshchyna,Social,1,0,Chernihiv,0,1,1973,1,"Business, System",1,Active,AI_Verified,1,1,0,0,0,2,1,46,2116,46,0,North,0,0
Іван Крулько,1,"Featured in media investigations (e.g., Bihus.info) regarding real estate assets and business interests of his brother, suggesting potential conflict of interest or undeclared wealth.",Batkivshchyna,Budget,1,0,Zakarpattia,0,1,1981,1,"System, Civil Society",1,Active,AI_Verified,1,0,1,0,0,2,1,38,1444,38,0,West,0,0
Олександр Абдуллін,1,Frequently documented in media investigations regarding opaque party financing and political corruption; listed by Chesno for involvement in button-pressing and party funding scandals.,Batkivshchyna,Humanitarian,1,0,Kyiv,1,1,1962,0,"Media, Business, System",1,Active,AI_Verified,1,1,0,1,0,3,1,57,3249,57,0,Center,0,1
Анжеліка Лабунська,1,NAZK identified significant discrepancies in her 2020 asset declaration exceeding 1 million UAH; historical media mentions regarding non-transparent enrichment and ties to the Zhevago business group.,Batkivshchyna,Eco,1,0,Kyiv,1,0,1967,1,"Business, System",1,Active,AI_Verified,1,1,0,0,0,2,1,52,2704,52,0,Center,0,1
Михайло Цимбалюк,1,"Subject to media scrutiny and NGO investigations regarding the origin of family assets and his high-ranking positions during the Yanukovych administration, though no VAKS criminal cases are active.",Batkivshchyna,Social,0,0,Lviv,0,1,1964,1,System,1,Active,AI_Verified,1,0,0,0,0,1,0,55,3025,0,0,West,0,0
Віталій Данілов,1,"Danilov has been the subject of numerous media investigations regarding his business interests in the energy sector, specifically gas extraction (Ukrnaftoburinnya), and his ties to regional power brokers in Kharkiv. While he has been linked to various corporate-political scandals, no formal pidozra or criminal verdict was issued during the 9th convocation.",Batkivshchyna,Budget,1,0,Kharkiv,0,1,1967,1,Business,1,Terminated,AI_Verified,0,1,0,0,0,1,0,52,2704,52,0,East,0,0
Ольга Бєлькова,0,"No documented corruption investigations or criminal cases by NABU, SAP, or VAKS; recognized for professional technocratic reputation in the energy sector.",Batkivshchyna,Finance,1,0,Kyiv,1,0,1975,1,"Business, Civil Society",1,Terminated,AI_Verified,0,1,1,0,0,2,1,44,1936,44,0,Center,0,1
Олексій Кучеренко,1,"Subject of various media investigations (Chesno, Bihus.info) regarding asset declarations, potential conflicts of interest in energy lobbying, and discrepancies in financial reporting.",Batkivshchyna,Energy,1,0,Vinnytsia,1,1,1961,1,System,1,Active,AI_Verified,1,0,0,0,0,1,0,58,3364,58,0,Center,0,0
Андрій Ніколаєнко,1,"Subject of several media investigations regarding his business ties to Serhiy Taruta and scrutiny over luxury assets following a high-profile fatal car accident, though no active corruption pidozra from NABU exists.",Batkivshchyna,Finance,0,0,Kyiv,0,1,1979,1,System,1,Active,AI_Verified,1,0,0,0,0,1,0,40,1600,0,0,Center,0,1
Михайло Волинець,2,"In November 2022, NABU and SAP notified Volynets of suspicion (pidozra) for failing to declare an apartment worth approximately 1.7 million UAH in his 2020 declaration; the case was later referred to the High Anti-Corruption Court (VAKS).",Batkivshchyna,Energy,1,0,Kyiv,0,1,1956,0,Civil Society,1,Active,AI_Verified,0,0,1,0,0,1,0,63,3969,63,0,Center,0,1
Альона Шкрум,0,"No recorded criminal cases, VAKS investigations, or formal corruption charges from NABU/SAP were identified in public registries.",Batkivshchyna,Finance,1,0,Kyiv,1,0,1988,1,Civil Society,1,Active,AI_Verified,0,0,1,0,0,1,0,31,961,31,0,Center,0,1
Андрій Пузійчук,1,Subject of media investigations by Bihus.info and other outlets regarding links to the 'construction mafia' in Kyiv and potential conflicts of interest as a member of the Budget Committee whose family business is involved in state-funded construction projects.,Batkivshchyna,Budget,0,0,Zhytomyr,0,1,1978,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,41,1681,0,0,Center,0,0
Вадим Івченко,1,"Identified by Chesno as a figurant in anti-corruption investigations related to land lobbying and potential conflicts of interest, though no formal criminal pidozra is active.",Batkivshchyna,Agrarian,1,0,Kyiv,0,1,1980,1,"System, Business",1,Active,AI_Verified,1,1,0,0,0,2,1,39,1521,39,0,Center,0,1
Джемілєв Мустафа,0,"No significant corruption scandals, criminal investigations by NABU/SAP, or verified integrity violations recorded during the 9th convocation.",European Solidarity,Humanitarian,1,0,Crimea,0,1,1943,0,Civil Society,1,Active,AI_Verified,0,0,1,0,0,1,0,76,5776,76,1,South,1,0
Ірина Геращенко,1,"Regularly mentioned in investigative journalism regarding asset declarations and lifestyle discrepancies, but lacks formal VAKS cases or NABU criminal charges.",European Solidarity,Foreign,1,0,Cherkasy,1,0,1971,1,"Media, System",1,Active,AI_Verified,1,0,0,1,0,2,1,48,2304,48,0,Center,0,0
Петро Порошенко,3,"Formally served with multiple notices of suspicion (pidozra), including high treason and terrorism financing in the coal supply case. Underwent high-profile court hearings regarding preventive measures and bail.",European Solidarity,Foreign,1,0,Vinnytsia,0,1,1965,1,"System, Business",1,Active,AI_Verified,1,1,0,0,0,2,1,54,2916,54,0,Center,0,0
Софія Федина,0,"While involved in a criminal case regarding alleged threats to the President (Article 346), no major corruption-related investigations, VAKS cases, or NABU/SAP protocols regarding enrichment or bribery are linked to her.",European Solidarity,Humanitarian,0,0,Lviv,1,0,1984,1,"Civil Society, Media",1,Active,AI_Verified,0,0,1,1,0,2,1,35,1225,0,0,West,0,0
Яна Зінкевич,0,"No records of corruption-related criminal cases, NABU investigations, or significant media-led financial enrichment scandals were found.",European Solidarity,Social,0,0,Rivne,1,0,1995,0,"Military, Civil Society",1,Active,AI_Verified,0,0,1,0,1,2,1,24,576,0,0,Other,0,0
Ахтем Чийгоз,0,"No records found of NABU/VAKS investigations, corruption-related pidozras, or investigative media reports regarding illicit enrichment or financial conflict of interest.",European Solidarity,Humanitarian,0,0,Crimea,0,1,1964,0,Civil Society,1,Active,AI_Verified,0,0,1,0,0,1,0,55,3025,0,0,South,1,0
Олег Синютка,1,"Involved in media investigations (CHESNO, Bihus.info) regarding asset declarations and potential abuse of power during his tenure as Lviv Governor (2014-2019).",European Solidarity,Transport,0,0,Lviv,0,1,1970,1,"System, Business",1,Active,AI_Verified,1,1,0,0,0,2,1,49,2401,0,0,West,0,0
Іванна Климпуш-Цинцадзе,0,"No active criminal cases, NABU investigations, or significant corruption-related sanctions recorded in anti-corruption databases like Chesno or Bihus.Info.",European Solidarity,Foreign,1,0,Kyiv,1,0,1972,1,"Civil Society, Media",1,Active,AI_Verified,0,0,1,1,0,2,1,47,2209,47,0,Center,0,1
Ніна Южаніна,1,"Identified by monitoring groups like Chesno for potential conflicts of interest and legislative lobbying for specific business sectors, although no criminal charges or official suspicions have been filed.",European Solidarity,Finance,1,0,Kyiv,0,0,1965,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,54,2916,54,0,Center,0,1
